lad_name,gt_id,gt_page_id,gt_globe,gt_primary,gt_lat,gt_lon,gt_dim,gt_type,gt_name,gt_country,gt_region,page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
Kensington and Chelsea,648887917,41023393,earth,1,51.4957,-0.1836,1000,landmark,NULL,GB,NULL,41023393,0,"St_Stephen's,_Gloucester_Road",NA,0,0,0.665378432994,20201216215205,20201215015026,994110134,3416,wikitext,NULL
Kensington and Chelsea,648887921,41024844,earth,1,51.4911,-0.1748,1000,landmark,NULL,GB,NULL,41024844,0,"St_Luke's_Chapel,_Brompton_Hospital",NA,0,0,0.323457179978,20201216215205,20201214035136,994109947,2076,wikitext,NULL
Kensington and Chelsea,648887926,41025362,earth,1,51.49963,-0.19365,1000,landmark,NULL,GB,NULL,41025362,0,"St_Sarkis,_Kensington",NA,0,0,0.250374636208,20201216215205,20201208062254,970607738,9039,wikitext,NULL
Kensington and Chelsea,648896007,41365677,earth,1,51.48194444,-0.17972222,1000,landmark,NULL,GB,KEC,41365677,0,"The_World's_End,_Chelsea",NA,0,0,0.788752369952,20201224114605,20201224110748,899101943,5802,wikitext,NULL
Kensington and Chelsea,648896064,41409865,earth,1,51.4928,-0.1938,1000,landmark,NULL,NULL,NULL,41409865,0,"Prince_of_Teck,_Earl's_Court",NA,0,0,0.217492164467,20201224114605,20201224110748,992295375,4909,wikitext,NULL
Kensington and Chelsea,648896097,41425710,earth,1,51.49058333,-0.18330556,1000,landmark,NULL,GB,KEC,41425710,0,"Drayton_Arms,_Earls_Court",NA,0,0,0.47330949683,20201224114605,20201224110748,887721920,3906,wikitext,NULL
Kensington and Chelsea,648896102,41425584,earth,1,51.4863,-0.1843,1000,landmark,NULL,GB,KEC,41425584,0,"Hollywood_Arms,_Chelsea",NA,0,0,0.753727005979,20201224114605,20201224110749,887722021,4130,wikitext,NULL
Kensington and Chelsea,648896111,41426732,earth,1,51.50630556,-0.19861111,1000,landmark,NULL,GB,KEC,41426732,0,"Windsor_Castle,_Kensington",NA,0,0,0.153903076646,20201224114605,20201224110749,897913042,4732,wikitext,NULL
Kensington and Chelsea,648896129,41427764,earth,1,51.51611111,-0.20888889,1000,landmark,NULL,GB,KEC,41427764,0,"Elgin,_Ladbroke_Grove",NA,0,0,0.863602399384,20201224114605,20201224110749,995542132,5075,wikitext,NULL
Kensington and Chelsea,648907116,937375,earth,0,51.5286,-0.2241,1000,NULL,NULL,NULL,NULL,937375,0,George_Busk,NA,0,0,0.824600390543,20201222030416,20201222031008,987152135,7777,wikitext,NULL
Kensington and Chelsea,648934267,477519,earth,1,51.492521000000004,-0.157188,1000,landmark,NULL,NULL,NULL,477519,0,Sloane_Square,NA,0,0,0.330518122451,20210101005336,20210101010422,994651319,11727,wikitext,NULL
Kensington and Chelsea,648938965,43582029,earth,1,51.4821,-0.188,1000,landmark,NULL,GB,KEC,43582029,0,Fox_and_Pheasant,NA,0,0,0.341756655049,20201224114605,20201224110751,910294650,4610,wikitext,NULL
Kensington and Chelsea,648941939,43747386,earth,1,51.483746,-0.170951,1000,landmark,NULL,GB,KEC,43747386,0,"The_Cross_Keys,_Chelsea",NA,0,0,0.033946431316,20201224114605,20201224110750,848693975,4562,wikitext,NULL
Kensington and Chelsea,648941945,43747471,earth,1,51.485251,-0.167708,1000,landmark,NULL,GB,KEC,43747471,0,The_Phene,NA,0,0,0.379819079304,20201224114605,20201224110750,986808075,4739,wikitext,NULL
